clientMac,group,transition,uniquePlaces,totalTime
e1bc,active (others),2,2,2609
7a17,inactive (dorm),1,1,3585
18ad,in-the-wild (others),5,1,3094
cf0a,active (others),1,1,3309
c0ad,in-the-wild (others),10,8,3522
0a1a,inactive (dorm),1,1,2993
67ba,active (others),1,1,3593
34f4,inactive (dorm),1,1,3538
fd31,inactive (dorm),1,1,3326
0b74,inactive (dorm),1,1,2743
ae1d,inactive (dorm),1,1,3077
41d3,inactive (dorm),1,1,3252
b0cd,inactive (dorm),1,1,1459
2536,inactive (dorm),1,1,3560
38fb,active (others),1,1,178
f8a8,active (others),2,2,971
9780,in-the-wild (others),9,5,3595
74f5,active (others),1,1,3579
2428,inactive (dorm),1,1,178
3882,inactive (dorm),1,1,3268
8ab2,active (others),3,1,3496
928c,active (others),2,2,3256
f26c,active (others),1,1,3383
d126,inactive (dorm),1,1,3392
7a6a,active (others),1,1,3389
9a2f,inactive (dorm),1,1,985
afa6,inactive (dorm),1,1,3550
e715,active (others),1,1,3363
8b2c,in-the-wild (others),7,7,2338
83fc,in-the-wild (others),12,11,3565
6dd2,active (others),6,6,3096
2afd,active (others),1,1,1261
34ba,active (others),1,1,3431
654c,active (others),1,1,3518
c232,active (others),1,1,252
7a5a,active (others),14,10,3550
4ed8,active (others),1,1,2496
fd61,active (others),1,1,2661
a20c,inactive (dorm),1,1,3593
e1ed,inactive (dorm),1,1,3168
d27c,active (others),1,1,3538
1af4,active (others),1,1,527
a0e0,active (others),3,3,3412
069f,active (others),1,1,3224
9175,active (others),1,1,3174
19b2,active (others),1,1,3587
8b1c,inactive (dorm),1,1,2837
c0f1,active (dorm),3,2,1987
97ea,active (others),1,1,3208
31f4,inactive (dorm),1,1,3569
4900,active (others),1,1,3560
c146,inactive (dorm),3,1,2881
8dbe,active (others),1,1,2632
4e3c,active (others),3,2,3546
15c8,active (others),3,3,3577
e234,inactive (dorm),4,1,417
75f3,active (others),1,1,3442
ba51,inactive (dorm),1,1,1659
20d1,inactive (dorm),1,1,562
e1a5,inactive (dorm),1,1,1965
0cb2,active (others),1,1,3542
b22a,inactive (dorm),1,1,3135
8ee0,active (others),1,1,2182
5b96,active (others),2,2,2815
5b44,active (others),1,1,3536
2cb2,in-the-wild (others),1,1,3290
cd6b,active (dorm),5,3,3044
3871,in-the-wild (others),4,4,1843
5865,inactive (dorm),1,1,3526
b6de,active (others),1,1,3558
0c91,active (others),4,4,3299
2c27,active (others),1,1,3530
0fe9,inactive (dorm),1,1,1211
043f,inactive (dorm),1,1,3464
3816,active (others),1,1,3492
472a,in-the-wild (others),3,3,3556
8b4c,active (others),3,3,1958
8af8,active (others),1,1,3595
f6ec,active (others),1,1,2090
569b,active (others),1,1,3595
9abe,active (others),1,1,3569
63d4,in-the-wild (others),1,1,3569
6ea3,inactive (dorm),1,1,3476
31df,inactive (dorm),2,1,3492
f55b,inactive (dorm),1,1,3373
0418,in-the-wild (others),1,1,3236
e75b,active (others),3,3,3585
344d,active (others),3,3,3508
f508,inactive (dorm),1,1,1823
372f,in-the-wild (others),1,1,3494
aa81,active (others),3,2,3290
ac19,in-the-wild (others),4,4,2811
8f9f,inactive (dorm),1,1,3558
d5a3,inactive (dorm),1,1,1417
2ab5,active (others),1,1,1722
5cec,in-the-wild (others),3,2,3392
ed2a,active (others),1,1,2696
bc12,active (others),1,1,3377
09b9,active (others),1,1,1708
fe63,active (others),2,2,3193
fb21,active (dorm),2,2,3565
b21d,active (others),5,5,3587
2135,active (others),3,2,3340
5745,active (others),1,1,3597
ce1b,active (others),1,1,3264
c3aa,active (others),2,2,3510
21dc,in-the-wild (others),7,2,3571
8459,active (others),3,2,1780
c4cc,inactive (dorm),1,1,3571
87ae,active (others),1,1,3170
f5bb,active (others),1,1,3589
64e4,active (others),1,1,3589
2e90,inactive (dorm),1,1,1806
e35f,active (others),1,1,3414
3f17,in-the-wild (others),4,4,3567
445e,inactive (dorm),1,1,3591
1255,active (others),3,3,341
dcb0,active (others),3,3,2802
7a84,active (others),1,1,2909
fbf6,active (others),1,1,3079
771f,active (dorm),4,3,3591
748b,active (others),2,1,3512
9f82,in-the-wild (others),3,3,3565
f4de,active (others),1,1,3577
2e36,active (others),5,1,3392
0217,active (others),5,4,452
fe5d,active (others),1,1,3305
80b0,active (others),10,7,1802
2aa0,active (others),1,1,3460
67d4,active (others),2,1,2839
2d27,in-the-wild (others),2,2,2769
8b8b,active (others),3,3,3338
ab96,in-the-wild (others),4,4,1689
133d,active (others),3,3,1944
6dda,active (others),2,1,3583
09b8,active (others),2,2,3589
24d2,active (others),1,1,2671
5e76,active (others),1,1,3512
4981,active (others),1,1,3224
f222,active (others),2,2,3540
0af5,active (others),1,1,2546
47cc,in-the-wild (others),5,3,3096
624d,in-the-wild (others),9,9,3593
8281,inactive (dorm),1,1,1997
d681,active (others),1,1,3534
a5c3,active (others),1,1,3147
dfbd,active (others),2,2,1350
4d8b,active (others),1,1,3577
5a3b,active (others),2,2,2332
f81e,active (others),1,1,2796
450f,in-the-wild (others),6,5,1238
07d8,active (others),2,1,3585
4fba,active (others),1,1,3435
1b35,inactive (dorm),1,1,3540
684e,inactive (dorm),1,1,3583
feba,active (others),1,1,1435
63d5,active (dorm),6,5,3534
1ca4,active (others),1,1,3143
d913,in-the-wild (others),11,8,3522
8d39,active (others),2,1,3429
ed1c,active (others),1,1,2556
7504,active (others),5,2,1153
7627,active (others),2,2,1096
2a4b,inactive (dorm),1,1,18
a009,in-the-wild (others),2,2,3546
815b,in-the-wild (dorm),4,3,997
dfda,active (others),2,1,3456
c7d4,active (others),1,1,3365
7c67,active (others),1,1,3398
c510,inactive (dorm),1,1,2854
7c2a,active (others),1,1,3448
ca06,active (others),4,2,3492
ab66,active (others),1,1,2307
3991,inactive (dorm),1,1,3492
4902,active (others),1,1,3520
9324,active (others),1,1,3597
359a,active (others),1,1,3589
cc98,inactive (dorm),1,1,3587
42ee,active (others),1,1,3151
dd4e,inactive (dorm),1,1,3544
bb5e,active (others),1,1,2638
f845,active (others),1,1,1993
bf3e,active (others),2,2,872
ea66,active (others),1,1,3290
dc80,active (others),1,1,3573
a2c8,active (others),1,1,2615
ea66,active (others),1,1,219
ecd9,active (others),3,3,3377
a9cf,active (others),3,2,2275
44da,inactive (dorm),1,1,3398
9eef,inactive (dorm),1,1,1222
4934,inactive (dorm),1,1,3565
1e92,active (others),1,1,3044
2d77,inactive (dorm),1,1,3470
8a4f,active (others),1,1,3208
80d2,active (others),1,1,928
5199,active (others),1,1,1157
ff31,in-the-wild (others),5,4,3544
ba13,active (others),1,1,442
19eb,active (others),1,1,1265
497a,active (others),3,1,3208
29bb,active (others),3,1,3587
1e7d,in-the-wild (others),1,1,3204
2a04,in-the-wild (others),7,5,3518
6ef6,active (others),7,4,3587
a1ad,inactive (dorm),1,1,840
3bb2,active (others),3,1,624
04e3,inactive (dorm),1,1,3583
6749,active (dorm),3,3,2981
38f3,active (others),1,1,3575
2c44,active (others),1,1,1685
5bbd,active (others),1,1,3530
3b89,inactive (dorm),1,1,3336
b8fe,inactive (dorm),1,1,3522
6d69,active (others),1,1,2883
3c34,active (others),1,1,3400
8fd7,active (others),1,1,712
eb20,active (others),1,1,3538
08bb,inactive (dorm),1,1,1954
9b0b,inactive (dorm),1,1,1806
cd33,inactive (dorm),1,1,86
9092,active (others),3,1,3022
54ae,active (others),1,1,1100
e2b0,in-the-wild (others),1,1,3427
cab5,in-the-wild (others),1,1,2638
b3a7,active (others),1,1,3462
6691,active (others),1,1,3524
e703,active (dorm),6,3,2214
5f46,active (others),1,1,1564
cfd7,active (others),1,1,1928
dff9,in-the-wild (others),3,3,1568
5f1e,inactive (dorm),1,1,3462
bb14,inactive (dorm),1,1,3560
86aa,active (others),1,1,3571
eb44,in-the-wild (others),4,2,450
64ff,inactive (dorm),1,1,3303
9e3c,in-the-wild (others),9,8,3581
65bf,active (others),1,1,1667
5fc2,active (others),1,1,3448
3558,active (others),1,1,3569
0a36,active (others),1,1,3332
125b,inactive (dorm),1,1,3554
17c2,inactive (dorm),1,1,3326
aa93,in-the-wild (others),1,1,1024
dbcc,active (others),1,1,1651
60ca,inactive (dorm),1,1,2848
76f3,active (others),2,2,1308
48dc,inactive (dorm),1,1,1148
5fc9,active (others),2,2,3540
c779,active (others),1,1,3595
3034,inactive (dorm),1,1,3552
9f9c,active (others),1,1,2687
4ddc,inactive (dorm),1,1,3028
ecd5,active (others),2,2,3344
dfdf,active (others),3,2,3377
88ea,inactive (dorm),1,1,30
5e1a,active (others),1,1,3518
8480,active (others),7,6,3342
3f74,active (others),3,3,2314
b72e,active (others),1,1,349
c396,active (others),3,2,3573
bf73,in-the-wild (others),1,1,3073
4faf,active (others),1,1,1979
242e,active (others),1,1,1796
1085,active (others),1,1,3593
e47a,active (others),1,1,158
932e,active (others),1,1,615
929e,active (others),1,1,1041
a120,inactive (dorm),1,1,3412
7d22,active (others),1,1,2948
975a,active (dorm),3,3,3168
8c63,active (others),1,1,2241
c82b,active (others),2,2,3448
dc33,in-the-wild (others),6,3,2710
019a,active (others),1,1,1758
9b94,active (others),2,1,3540
4caf,in-the-wild (others),1,1,727
0234,inactive (dorm),2,1,337
4574,inactive (dorm),1,1,3433
6acd,active (others),1,1,3288
29c7,in-the-wild (others),2,1,1973
b461,active (others),1,1,3129
0db9,active (others),1,1,3571
5858,active (others),1,1,38
fa12,active (others),1,1,3053
beeb,active (others),1,1,3166
d9f4,in-the-wild (others),3,2,3450
5666,active (others),1,1,66
64ce,active (others),1,1,3454
d1d2,active (others),1,1,1080
af37,active (others),1,1,2618
b37a,in-the-wild (others),5,3,3536
0add,active (others),7,3,3077
db3c,active (others),1,1,2131
d4eb,active (others),1,1,2562
b1f8,active (others),15,9,3595
28e7,in-the-wild (others),1,1,3440
bab6,active (others),1,1,1125
3905,active (others),2,2,3540
0936,active (dorm),6,3,3526
47c0,active (others),3,2,3448
06f5,in-the-wild (others),1,1,2265
3bff,active (others),3,1,3460
7fc5,in-the-wild (others),17,11,2936
0a36,active (others),1,1,3558
bc18,active (others),1,1,1641
70dd,in-the-wild (others),6,6,3575
76c8,active (others),1,1,2952
ae1d,inactive (dorm),1,1,1060
bce0,active (others),1,1,1143
ae50,active (others),1,1,3591
a762,active (others),1,1,3322
7fc1,active (others),1,1,922
6d2b,active (others),1,1,2447
bd7b,inactive (dorm),1,1,3571
43f5,active (others),1,1,3522
9384,in-the-wild (others),1,1,2802
1abd,active (others),1,1,3587
1d67,active (others),1,1,3005
3c76,in-the-wild (others),1,1,1956
6096,active (others),1,1,3425
4b7a,active (others),1,1,1636
e761,active (others),1,1,2273
ac3b,in-the-wild (others),1,1,2028
03db,active (others),1,1,158
848c,active (others),1,1,49
2635,active (others),2,1,2778
1011,active (others),1,1,3038
8b8e,active (others),1,1,2817
137d,in-the-wild (others),5,3,3573
b23b,inactive (dorm),1,1,3540
2ffb,active (others),1,1,3522
63c7,active (others),1,1,1889
9f12,in-the-wild (others),1,1,3595
2c32,inactive (dorm),1,1,2976
862b,active (others),9,8,3361
3b18,active (others),1,1,3504
1049,active (others),1,1,3318
33f0,active (others),1,1,3540
47c4,in-the-wild (others),4,3,2873
733a,active (others),2,2,2102
37a8,active (others),1,1,2151
51d7,active (others),1,1,1316
423e,active (dorm),3,2,3460
998c,active (others),1,1,1094
f76a,active (others),1,1,1989
75f3,in-the-wild (others),1,1,2533
a3a1,in-the-wild (others),1,1,3556
0c5a,in-the-wild (others),1,1,3024
7db7,inactive (dorm),1,1,1352
5389,in-the-wild (others),1,1,3595
59f5,in-the-wild (others),1,1,3502
92de,inactive (dorm),1,1,2877
0c82,in-the-wild (others),1,1,3212
d90a,inactive (dorm),1,1,3232
b5c8,active (others),1,1,2969
0e47,active (others),1,1,3067
8882,inactive (dorm),1,1,3573
1c3c,active (others),9,9,1619
82e0,inactive (dorm),1,1,3544
f495,inactive (dorm),1,1,3583
60ed,inactive (dorm),1,1,3232
3be9,active (others),1,1,3579
1572,active (others),1,1,3460
faad,in-the-wild (others),1,1,1611
5c16,active (others),1,1,2316
8c66,active (others),7,5,3546
16b7,active (dorm),3,3,3334
e2ac,active (others),1,1,3067
59f5,active (dorm),2,2,852
4db9,active (others),1,1,96
4cd7,inactive (dorm),4,1,3307
1de2,active (others),3,3,3435
6436,active (others),1,1,1821
c0c0,active (others),3,2,3595
7b21,active (others),1,1,1784
8fa9,active (others),2,2,3587
2db6,active (others),2,2,2852
23d3,in-the-wild (others),4,4,3069
f393,active (others),1,1,3558
1498,active (dorm),3,2,3381
26fe,active (others),1,1,3450
ae70,active (others),3,2,2786
2363,active (others),1,1,3260
b131,active (others),1,1,3174
e7c9,in-the-wild (others),4,1,3460
ef30,in-the-wild (others),3,2,2622
b3ed,active (others),1,1,3540
053b,active (others),1,1,2166
0301,active (others),5,3,2934
df0a,inactive (dorm),1,1,3468
e952,inactive (dorm),1,1,3168
79a5,active (others),1,1,3516
16ea,in-the-wild (others),3,2,3554
1cf0,in-the-wild (others),1,1,904
4f12,active (others),1,1,2997
5af5,active (others),4,4,3355
4577,active (others),1,1,3524
26f3,active (others),1,1,2263
8ca0,active (others),1,1,3567
30d4,in-the-wild (others),2,2,3332
bc82,active (others),3,1,3565
e3e7,in-the-wild (others),1,1,3242
7c8c,active (others),1,1,3189
7ccb,active (others),1,1,3587
843e,active (others),1,1,1901
bf8f,active (others),4,4,2277
163d,active (others),1,1,3295
60cf,active (others),1,1,1843
30ae,active (others),1,1,3100
dd2d,active (others),1,1,3510
5cbe,active (others),3,3,2281
6207,inactive (dorm),1,1,3536
d4b8,in-the-wild (others),21,4,3212
4ab4,inactive (dorm),1,1,3160
c352,active (others),12,6,3585
400c,active (others),1,1,3440
a7ca,in-the-wild (others),6,4,3552
eac0,active (others),1,1,38
a01f,in-the-wild (others),1,1,59
9779,active (others),3,3,1123
2c99,active (others),1,1,3589
64f7,active (others),3,3,3558
10fe,active (others),1,1,3406
821a,active (others),2,1,1177
b3af,in-the-wild (others),1,1,3540
29b7,in-the-wild (others),3,2,3577
953a,in-the-wild (others),4,3,2326
b826,active (others),1,1,3121
a702,active (others),1,1,3488
b3f4,active (others),1,1,3563
0c57,active (others),1,1,2702
0e65,active (others),2,1,3536
a74b,active (others),1,1,92
3128,inactive (dorm),1,1,3071
f299,active (others),1,1,2934
af77,inactive (dorm),1,1,3476
9a0d,inactive (dorm),1,1,3534
ae92,inactive (dorm),1,1,3591
da65,inactive (dorm),1,1,3222
433f,inactive (dorm),1,1,3322
7fde,inactive (dorm),1,1,3286
6b71,inactive (dorm),1,1,3197
a132,active (others),1,1,460
2ce3,active (others),1,1,2721
627f,active (others),1,1,3538
0f29,active (others),8,4,3583
79af,in-the-wild (others),7,7,3272
e3d0,active (others),2,2,3565
d8e2,active (others),5,2,3518
5381,in-the-wild (others),1,1,2394
5bf9,active (others),5,1,333
7389,active (others),1,1,3514
6078,active (others),4,3,2892
d981,in-the-wild (others),1,1,288
27b9,active (others),1,1,3342
6eb2,active (others),1,1,3550
b40b,active (others),1,1,1897
05fe,inactive (dorm),1,1,2486
dd6a,active (others),2,2,1402
d49e,active (others),3,3,2355
9527,active (others),4,2,3587
e8d1,active (others),1,1,3236
0686,inactive (dorm),1,1,3286
90ac,active (others),2,1,3573
4a39,inactive (dorm),1,1,3454
0878,active (others),1,1,3314
11d3,active (others),1,1,3147
d213,active (others),1,1,1839
8002,active (others),1,1,1056
6216,inactive (dorm),1,1,783
baad,in-the-wild (others),2,1,3554
b203,active (others),1,1,3577
63d4,active (others),1,1,178
45d7,active (others),5,3,2166
c3cf,in-the-wild (others),5,4,2761
242e,active (others),2,2,3416
da67,active (dorm),3,2,3433
0773,active (others),1,1,3414
02e9,inactive (dorm),1,1,3462
3118,active (dorm),3,2,3516
5a83,active (others),1,1,3558
286d,active (others),1,1,1165
9800,active (others),1,1,1499
59e0,active (others),4,4,3526
2d67,active (others),2,2,280
fe56,active (others),2,1,3536
c731,active (others),1,1,3581
d85f,active (others),1,1,3577
c340,active (others),1,1,3470
358a,active (others),1,1,3514
d116,in-the-wild (others),8,7,3591
ba73,in-the-wild (others),2,2,3170
7549,active (dorm),5,5,979
a00a,active (others),3,2,2028
93e0,active (others),1,1,3579
3926,active (others),1,1,3301
9fc8,active (others),3,3,1330
4a31,in-the-wild (others),1,1,887
94b4,active (others),1,1,3579
3915,inactive (dorm),1,1,1636
f0ea,active (others),2,2,3387
749d,active (others),3,3,611
908c,active (others),1,1,260
ab34,active (others),2,2,3512
1408,inactive (dorm),1,1,1681
392f,active (others),1,1,3565
6f02,active (others),1,1,3488
8e5b,active (others),7,6,2877
3249,in-the-wild (others),5,4,3522
75c0,active (others),1,1,2879
ccf3,inactive (dorm),1,1,417
2826,active (others),1,1,3510
50ed,active (others),1,1,427
6883,active (others),1,1,969
e8d6,inactive (dorm),1,1,3252
9709,active (others),1,1,3394
ee81,active (others),1,1,2620
2c74,active (others),1,1,2556
c07a,active (others),1,1,3153
cca5,active (others),1,1,2
26c9,active (others),3,3,3530
926e,inactive (dorm),1,1,3016
9629,in-the-wild (dorm),2,2,2494
535e,active (others),1,1,2426
0f46,active (others),4,2,3452
7b17,active (others),1,1,3546
8607,in-the-wild (others),1,1,2665
0dd1,active (others),2,2,2596
d64f,active (others),1,1,3579
cba5,inactive (dorm),1,1,2114
29e4,active (others),1,1,2081
d89c,active (others),4,2,3546
1082,active (others),2,2,1874
5ecb,inactive (dorm),1,1,2934
487a,active (others),3,2,2552
b5e6,active (others),1,1,3532
ca09,active (dorm),7,3,3506
1240,active (others),1,1,515
63a7,active (others),3,1,2919
aff1,active (others),1,1,3552
3ad8,in-the-wild (others),2,2,3394
8207,in-the-wild (others),1,1,842
7c07,active (others),1,1,3336
c98f,inactive (dorm),1,1,3200
55ed,active (others),1,1,3147
d863,active (others),13,2,3563
6a4e,active (others),1,1,3195
c30d,active (others),4,4,3496
1e2d,active (others),1,1,3595
b429,active (others),2,1,3478
783e,in-the-wild (others),2,1,3496
edc0,active (others),1,1,3512
83a9,in-the-wild (others),1,1,3506
3dd1,inactive (dorm),1,1,3482
3911,in-the-wild (others),2,1,1876
fe9a,inactive (dorm),1,1,189
6048,in-the-wild (others),5,4,2143
07fc,inactive (dorm),1,1,1488
c537,active (others),1,1,1934
5ea0,active (others),1,1,3408
ba1b,active (others),1,1,3565
9ac5,in-the-wild (others),4,3,3585
50ef,active (others),3,3,244
a39d,active (others),1,1,3587
4c41,active (others),1,1,1800
8a95,active (others),2,2,3558
fb9c,active (others),1,1,1119
9ec7,active (others),1,1,3585
5eca,active (others),1,1,3558
0e26,active (others),1,1,3554
7ea9,in-the-wild (others),2,2,2946
566d,active (others),1,1,3577
1dec,active (others),1,1,3234
8839,active (others),3,3,3429
1ca7,in-the-wild (others),9,8,3454
4ff2,active (others),2,2,3220
90d9,active (others),1,1,3329
6267,active (others),1,1,3563
4672,active (others),1,1,3178
3395,inactive (dorm),1,1,2295
e6f8,in-the-wild (others),1,1,2745
14d3,active (others),1,1,3575
fcba,active (others),1,1,3546
38d2,in-the-wild (others),1,1,714
77fb,active (others),1,1,3498
b236,active (others),4,3,2293
8578,active (dorm),6,4,3597
898e,active (others),7,5,3595
bb7b,active (others),1,1,3585
c2af,active (others),8,8,2804
e979,inactive (dorm),1,1,3585
ea4a,active (others),2,2,3381
5987,active (others),1,1,548
962e,active (others),1,1,2412
d3e7,in-the-wild (others),1,1,1995
caea,active (others),2,1,3552
1362,active (others),6,6,3468
9ac1,active (others),1,1,3440
345d,in-the-wild (others),1,1,381
bd35,active (others),1,1,3575
81d6,active (others),1,1,3552
92f9,inactive (dorm),1,1,3416
7c2b,active (others),3,1,3448
cbfa,active (others),8,4,3482
50a8,active (others),2,1,3110
a0e5,active (others),2,1,3540
fd44,inactive (dorm),1,1,2829
41f0,inactive (dorm),1,1,3571
d664,active (others),2,2,3585
558a,active (others),1,1,3112
5dc1,active (others),1,1,3435
4a0a,active (others),2,2,3238
108d,inactive (dorm),6,1,3065
57d9,active (others),1,1,2265
ef0c,active (others),3,1,3579
4409,active (others),3,3,3512
a834,active (others),2,2,3028
4deb,active (others),2,2,3575
048d,active (others),4,3,3571
c2db,active (others),3,2,1780
cb91,inactive (dorm),1,1,603
aa0b,active (others),1,1,1981
91ef,active (others),1,1,3301
8aaa,inactive (dorm),1,1,3416
1d05,active (others),1,1,3583
96db,active (dorm),2,2,3286
1cc6,inactive (dorm),1,1,3178
8bfc,in-the-wild (others),3,1,3252
5f5a,active (others),5,5,3593
50d9,in-the-wild (others),5,1,3472
175c,active (others),4,3,3488
195d,active (others),1,1,2314
9f4d,active (others),1,1,1924
5c54,active (others),1,1,3508
c567,in-the-wild (others),4,4,3369
a4da,active (others),1,1,533
9028,inactive (dorm),1,1,3334
1ede,active (others),2,2,3595
427b,active (others),5,2,3554
2188,active (others),1,1,2983
5420,active (others),1,1,1437
3181,active (others),1,1,3252
9a64,inactive (dorm),1,1,2967
ae85,in-the-wild (others),3,3,1821
569b,active (others),1,1,704
f01e,active (others),1,1,3575
9e39,inactive (dorm),1,1,3053
217f,in-the-wild (others),1,1,3433
86f4,active (others),1,1,454
626f,active (others),1,1,3540
9085,active (others),1,1,215
c8cb,active (others),3,3,3176
0d4d,active (others),1,1,488
0fb7,active (others),2,2,3488
5905,active (others),1,1,3575
c15d,active (others),1,1,3554
72bb,active (others),1,1,2841
5b40,inactive (dorm),1,1,2804
f6ab,active (others),1,1,3147
e13b,in-the-wild (others),1,1,24
8883,active (others),1,1,3518
d6be,active (others),1,1,3504
9c5b,active (others),1,1,3534
f449,inactive (dorm),1,1,3563
3a52,active (others),1,1,135
4fdb,active (others),4,3,2831
2928,in-the-wild (others),1,1,3595
cba8,active (others),5,4,3288
e418,inactive (dorm),1,1,3342
9422,in-the-wild (others),1,1,2202
4377,active (others),1,1,3534
beb6,inactive (dorm),1,1,222
d325,active (others),1,1,877
780e,in-the-wild (others),1,1,53
2b7a,inactive (dorm),1,1,2349
e125,inactive (dorm),1,1,1956
b45c,inactive (dorm),1,1,3542
0014,active (dorm),4,4,3597
d8cd,inactive (dorm),1,1,1250
0533,active (dorm),2,2,951
997d,in-the-wild (others),3,3,3583
45f6,active (others),1,1,1849
534e,active (others),1,1,3024
8560,active (others),4,1,2394
aedf,active (others),5,1,3579
cedd,active (others),1,1,3520
64ee,in-the-wild (others),2,2,1829
d8fb,active (others),1,1,3429
99b9,active (others),1,1,2622
f5e0,active (others),2,2,1993
15e6,inactive (dorm),1,1,3492
d775,active (others),1,1,3544
9f65,active (others),7,7,3540
8726,in-the-wild (others),6,6,2613
a034,inactive (dorm),1,1,1297
2a49,inactive (dorm),1,1,3350
7043,active (others),1,1,391
e05f,inactive (dorm),3,1,3425
910d,in-the-wild (others),1,1,2983
4c0b,in-the-wild (others),6,5,3135
d247,active (others),1,1,3522
0da9,active (others),1,1,425
d3d3,active (others),2,2,3365
b8ed,active (others),1,1,1211
df2c,active (others),1,1,3352
f57f,active (others),3,3,3125
0ca8,active (others),5,3,3589
a89a,active (others),2,1,3193
4845,active (others),1,1,2708
4de8,active (others),3,1,2798
8734,in-the-wild (others),4,4,3593
7f4a,inactive (dorm),1,1,3577
e91c,active (others),1,1,3348
18fa,active (others),1,1,2600
2903,active (others),1,1,3538
15f1,active (others),2,1,3016
fec7,inactive (dorm),1,1,973
48a1,inactive (dorm),1,1,3094
1a11,active (others),5,4,1796
751e,in-the-wild (others),1,1,3067
e8c9,active (others),5,4,3462
f2e6,inactive (dorm),3,1,3571
36ee,active (others),1,1,3556
2384,in-the-wild (others),2,2,365
af2b,inactive (dorm),1,1,3565
d431,active (others),1,1,3575
0aca,inactive (dorm),1,1,3216
076c,in-the-wild (others),1,1,166
dd2c,in-the-wild (others),2,2,3444
1bb9,active (others),1,1,1995
bcbb,active (others),2,2,1203
bfe3,in-the-wild (others),5,5,1922
8ab7,active (others),1,1,3222
df0a,active (others),1,1,3508
e03e,active (others),1,1,3026
846c,active (others),1,1,3573
425e,active (others),1,1,2909
63ee,inactive (dorm),1,1,3412
6312,active (dorm),3,3,1720
b571,active (others),1,1,3416
1ebe,active (others),2,1,3583
e88d,active (others),1,1,2100
7479,active (others),1,1,3266
6b6f,active (others),1,1,3200
3df7,active (others),2,2,1135
2a29,inactive (dorm),1,1,3472
aa7a,active (others),1,1,3396
d9e3,in-the-wild (others),4,4,3581
a685,active (others),1,1,3232
f7f4,active (dorm),4,3,3498
e820,active (others),6,3,1772
